                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.52093,                 1.0139,                0.93411,                0.96937,                      1,                  0.995,                0.91418,                0.44358,                 1.1232,                0.76841,              0.0011059,              0.0011059,              0.0011059
                     37,                0.47904,                 1.0378,                0.90414,                0.94895,                      1,                  0.995,                0.93022,                0.42744,                 1.3741,                0.75462,              0.0010894,              0.0010894,              0.0010894
                     38,                0.40887,                 1.7587,                0.77095,                0.94895,                      1,                  0.995,                0.93022,                0.42744,                 1.3741,                0.75462,              0.0010729,              0.0010729,              0.0010729
                     39,                0.48801,                0.87485,                0.90511,                0.95339,                0.87928,                  0.995,                0.92642,                0.44042,                 1.7263,                0.75756,              0.0010564,              0.0010564,              0.0010564
                     40,                0.48614,                0.89114,                0.89156,                0.96527,                      1,                  0.995,                0.90977,                0.43472,                 1.3369,                0.75895,              0.0010399,              0.0010399,              0.0010399
                     41,                0.50947,                0.89964,                0.91897,                0.97812,                      1,                  0.995,                0.90379,                0.45782,                  1.054,                 0.7697,              0.0010234,              0.0010234,              0.0010234
                     42,                0.48438,                0.90792,                0.87658,                 0.9692,                      1,                  0.995,                0.89535,                0.47455,                0.95995,                0.78436,              0.0010069,              0.0010069,              0.0010069
                     43,                0.47795,                0.89249,                0.89551,                0.97407,                      1,                  0.995,                0.90337,                0.45716,                0.89039,                0.78161,             0.00099036,             0.00099036,             0.00099036
                     44,                0.47435,                 0.7993,                0.89141,                0.98279,                      1,                  0.995,                0.90382,                0.44431,                0.82629,                0.77165,             0.00097386,             0.00097386,             0.00097386
                     45,                 0.4201,                0.84103,                 0.8595,                0.98895,                      1,                  0.995,                0.93599,                0.40739,                0.81892,                0.76443,             0.00095736,             0.00095736,             0.00095736
                     46,                0.40795,                0.80226,                 0.8823,                0.98895,                      1,                  0.995,                0.93599,                0.40739,                0.81892,                0.76443,             0.00094085,             0.00094085,             0.00094085
                     47,                0.50123,                 0.8776,                0.90304,                0.98381,                      1,                  0.995,                0.94289,                 0.4143,                0.85693,                0.77737,             0.00092435,             0.00092435,             0.00092435
                     48,                0.48529,                  0.881,                0.89234,                 0.9898,                      1,                  0.995,                0.93631,                0.41636,                0.84304,                0.77825,             0.00090785,             0.00090785,             0.00090785
                     49,                 0.4676,                0.84539,                0.88274,                0.99127,                      1,                  0.995,                0.94622,                 0.3776,                0.77853,                0.75358,             0.00089134,             0.00089134,             0.00089134
                     50,                0.57945,                  0.862,                0.97705,                0.99177,                      1,                  0.995,                0.95287,                0.35928,                0.76204,                0.73837,             0.00087484,             0.00087484,             0.00087484
                     51,                 0.4512,                0.80276,                0.84148,                0.99145,                      1,                  0.995,                0.96154,                0.36938,                0.74942,                0.74004,             0.00085834,             0.00085834,             0.00085834
                     52,                0.45371,                0.78399,                0.89636,                0.99032,                      1,                  0.995,                0.93254,                 0.3639,                0.72549,                 0.7421,             0.00084184,             0.00084184,             0.00084184
                     53,                0.40126,                0.74737,                0.85766,                 0.9912,                      1,                  0.995,                0.92701,                0.37141,                0.72417,                0.75026,             0.00082533,             0.00082533,             0.00082533
                     54,                0.39272,                 0.7851,                0.82944,                 0.9912,                      1,                  0.995,                0.92701,                0.37141,                0.72417,                0.75026,             0.00080883,             0.00080883,             0.00080883
