                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.51346,                 3.4036,                 1.0131,                0.00366,                      1,                0.47583,                0.46633,                0.24104,                 3.2112,                0.71728,              6.668e-05,              6.668e-05,              6.668e-05
                      2,                0.42007,                 3.1065,                0.86347,                0.00352,                      1,                   0.73,                0.71679,                0.25449,                 3.1615,                0.69711,             0.00014854,             0.00014854,             0.00014854
                      3,                0.44704,                 2.5151,                0.94084,                0.00342,                      1,                0.68025,                0.67202,                0.27505,                  3.028,                0.70761,             0.00022876,             0.00022876,             0.00022876
                      4,                0.52594,                 2.2252,                0.93337,                0.77428,                    0.5,                0.68025,                0.65958,                0.32871,                 2.7497,                 0.7382,             0.00030732,             0.00030732,             0.00030732
                      5,                0.50976,                 2.3917,                0.87816,                0.82767,                    0.5,                0.78875,                0.74891,                0.40302,                 2.6228,                0.75984,             0.00038424,             0.00038424,             0.00038424
                      6,                0.51192,                 1.6646,                0.91737,                 0.4437,                      1,                   0.83,                0.77762,                0.42076,                 2.6543,                0.75391,              0.0004595,              0.0004595,              0.0004595
                      7,                0.51706,                 1.8012,                0.86692,                0.00333,                      1,                0.95375,                0.87502,                0.38044,                 2.7603,                  0.724,             0.00053311,             0.00053311,             0.00053311
                      8,                 0.5429,                 1.4748,                0.91173,                0.00336,                      1,                  0.995,                0.95365,                0.31296,                 2.7147,                0.71299,             0.00060508,             0.00060508,             0.00060508
                      9,                0.43837,                 1.4695,                0.90978,                0.94024,                0.95949,                  0.995,                0.94004,                 0.3723,                 2.2001,                0.72336,             0.00067539,             0.00067539,             0.00067539
                     10,                0.63292,                 1.3816,                0.97424,                0.96745,                      1,                  0.995,                0.91227,                0.40317,                 1.5584,                0.74374,             0.00074405,             0.00074405,             0.00074405
                     11,                0.54763,                 1.4721,                0.98157,                0.96023,                      1,                  0.995,                0.92066,                0.41358,                 1.4065,                0.75174,             0.00081106,             0.00081106,             0.00081106
                     12,                0.63839,                 1.5855,                0.92912,                0.86371,                      1,                  0.995,                0.92887,                0.41259,                 1.8576,                0.74834,             0.00087642,             0.00087642,             0.00087642
                     13,                0.57447,                 1.4567,                0.99045,                0.86371,                      1,                  0.995,                0.92887,                0.41259,                 1.8576,                0.74834,             0.00094013,             0.00094013,             0.00094013
                     14,                 0.5888,                 1.3671,                0.91068,                 0.9104,                      1,                  0.995,                 0.9039,                0.43832,                 1.6669,                0.77965,              0.0010022,              0.0010022,              0.0010022
                     15,                0.56464,                 1.2466,                0.91908,                0.96541,                      1,                  0.995,                0.92904,                0.39885,                 1.4982,                0.74484,              0.0010626,              0.0010626,              0.0010626
                     16,                 0.6002,                 1.4942,                0.99258,                0.96541,                      1,                  0.995,                0.92904,                0.39885,                 1.4982,                0.74484,              0.0011214,              0.0011214,              0.0011214
                     17,                 0.5419,                 1.3812,                0.95156,                0.97219,                      1,                  0.995,                0.92327,                0.47329,                 1.4655,                  0.758,              0.0011785,              0.0011785,              0.0011785
                     18,                0.49191,                 1.2239,                0.85158,                0.97219,                      1,                  0.995,                0.92327,                0.47329,                 1.4655,                  0.758,              0.0012339,              0.0012339,              0.0012339
                     19,                0.58025,                 1.2213,                0.93251,                0.96044,                      1,                  0.995,                0.93987,                0.41272,                 1.5138,                0.75732,              0.0012877,              0.0012877,              0.0012877
                     20,                0.58907,                 1.3938,                0.94958,                0.96044,                      1,                  0.995,                0.93987,                0.41272,                 1.5138,                0.75732,              0.0013399,              0.0013399,              0.0013399
                     21,                0.50771,                 1.2939,                0.89493,                0.82714,                0.97594,                  0.995,                 0.9011,                0.44561,                 1.5708,                0.77935,              0.0013369,              0.0013369,              0.0013369
                     22,                0.61027,                 1.1719,                0.94925,                0.82714,                0.97594,                  0.995,                 0.9011,                0.44561,                 1.5708,                0.77935,              0.0013369,              0.0013369,              0.0013369
                     23,                0.53893,                  1.416,                0.96146,                0.82714,                0.97594,                  0.995,                 0.9011,                0.44561,                 1.5708,                0.77935,              0.0013204,              0.0013204,              0.0013204
                     24,                0.67456,                 1.7206,                0.99594,                0.97148,                      1,                  0.995,                0.87352,                0.50756,                 1.4215,                0.79042,              0.0013039,              0.0013039,              0.0013039
                     25,                0.67116,                 1.5818,                 1.0062,                0.97148,                      1,                  0.995,                0.87352,                0.50756,                 1.4215,                0.79042,              0.0012874,              0.0012874,              0.0012874
