                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     26,                0.59483,                 1.1615,                0.89829,                0.98769,                      1,                  0.995,                0.84037,                0.51961,                 1.4232,                0.77453,              0.0012709,              0.0012709,              0.0012709
                     27,                 0.7347,                 1.6488,                0.99556,                0.98769,                      1,                  0.995,                0.84037,                0.51961,                 1.4232,                0.77453,              0.0012544,              0.0012544,              0.0012544
                     28,                0.56751,                  1.241,                0.92897,                0.98251,                      1,                  0.995,                 0.8955,                0.46692,                 1.3924,                0.75695,              0.0012379,              0.0012379,              0.0012379
                     29,                0.63339,                 1.2312,                0.91262,                0.98251,                      1,                  0.995,                 0.8955,                0.46692,                 1.3924,                0.75695,              0.0012214,              0.0012214,              0.0012214
                     30,                0.65441,                 1.4658,                0.97961,                0.94522,                      1,                  0.995,                0.87352,                0.49953,                 1.3998,                0.79064,              0.0012049,              0.0012049,              0.0012049
                     31,                0.64685,                 1.2826,                0.94581,                0.94522,                      1,                  0.995,                0.87352,                0.49953,                 1.3998,                0.79064,              0.0011884,              0.0011884,              0.0011884
                     32,                 0.6834,                 1.2825,                0.97341,                0.98166,                      1,                  0.995,                0.92356,                0.40096,                 1.2558,                0.77248,              0.0011719,              0.0011719,              0.0011719
                     33,                0.58092,                 1.2112,                0.91768,                0.98166,                      1,                  0.995,                0.92356,                0.40096,                 1.2558,                0.77248,              0.0011554,              0.0011554,              0.0011554
                     34,                0.55004,                 1.2085,                0.88866,                0.98166,                      1,                  0.995,                0.92356,                0.40096,                 1.2558,                0.77248,              0.0011389,              0.0011389,              0.0011389
                     35,                0.62647,                 1.5351,                0.92398,                0.70011,                      1,                  0.995,                 0.9195,                 0.4124,                 2.1166,                0.74471,              0.0011224,              0.0011224,              0.0011224
                     36,                0.64859,                 1.4255,                0.95208,                0.70011,                      1,                  0.995,                 0.9195,                 0.4124,                 2.1166,                0.74471,              0.0011059,              0.0011059,              0.0011059
                     37,                0.56452,                 1.3519,                0.91634,                0.75204,                0.98739,                  0.995,                0.94006,                0.40809,                 1.7734,                0.75759,              0.0010894,              0.0010894,              0.0010894
                     38,                0.66234,                 1.3442,                0.94409,                0.75204,                0.98739,                  0.995,                0.94006,                0.40809,                 1.7734,                0.75759,              0.0010729,              0.0010729,              0.0010729
                     39,                0.58172,                   1.31,                0.92398,                0.96363,                      1,                  0.995,                0.92356,                0.42177,                 1.2985,                0.78415,              0.0010564,              0.0010564,              0.0010564
                     40,                0.64047,                  1.155,                0.93941,                0.96363,                      1,                  0.995,                0.92356,                0.42177,                 1.2985,                0.78415,              0.0010399,              0.0010399,              0.0010399
                     41,                0.58737,                  1.072,                0.88242,                0.96512,                      1,                  0.995,                0.96204,                0.37546,                 1.6901,                0.79673,              0.0010234,              0.0010234,              0.0010234
                     42,                0.64256,                 1.3125,                 1.0131,                0.96512,                      1,                  0.995,                0.96204,                0.37546,                 1.6901,                0.79673,              0.0010069,              0.0010069,              0.0010069
                     43,                0.54134,                 1.0463,                0.94675,                0.98376,                      1,                  0.995,                0.95104,                0.34419,                 1.2635,                 0.7441,             0.00099036,             0.00099036,             0.00099036
                     44,                0.55102,                 1.2341,                0.89707,                0.98376,                      1,                  0.995,                0.95104,                0.34419,                 1.2635,                 0.7441,             0.00097386,             0.00097386,             0.00097386
                     45,                0.50789,                 1.0482,                0.90742,                0.98376,                      1,                  0.995,                0.95104,                0.34419,                 1.2635,                 0.7441,             0.00095736,             0.00095736,             0.00095736
                     46,                0.64258,                 1.2024,                0.99757,                 0.9783,                      1,                  0.995,                0.92347,                0.36433,                 1.3499,                0.72141,             0.00094085,             0.00094085,             0.00094085
                     47,                0.53143,                 1.1337,                0.91966,                 0.9783,                      1,                  0.995,                0.92347,                0.36433,                 1.3499,                0.72141,             0.00092435,             0.00092435,             0.00092435
                     48,                 0.5166,                 1.0871,                0.89122,                0.95485,                      1,                  0.995,                0.91797,                0.41859,                 1.4007,                0.73063,             0.00090785,             0.00090785,             0.00090785
                     49,                0.54226,                 1.1026,                0.90273,                0.95485,                      1,                  0.995,                0.91797,                0.41859,                 1.4007,                0.73063,             0.00089134,             0.00089134,             0.00089134
                     50,                0.52643,                 1.1499,                 0.9218,                0.95619,                      1,                  0.995,                0.91797,                0.40021,                 1.4081,                0.74239,             0.00087484,             0.00087484,             0.00087484
                     51,                0.63827,                 1.3882,                0.99741,                0.95619,                      1,                  0.995,                0.91797,                0.40021,                 1.4081,                0.74239,             0.00085834,             0.00085834,             0.00085834
                     52,                0.57681,                 1.1475,                 0.9283,                0.96941,                      1,                  0.995,                0.93445,                0.38782,                 1.2067,                0.72923,             0.00084184,             0.00084184,             0.00084184
                     53,                0.50992,                 1.1696,                0.89764,                0.96941,                      1,                  0.995,                0.93445,                0.38782,                 1.2067,                0.72923,             0.00082533,             0.00082533,             0.00082533
                     54,                0.46379,                 1.1647,                0.87505,                0.98006,                      1,                  0.995,                0.93716,                0.36857,                 1.0584,                 0.7196,             0.00080883,             0.00080883,             0.00080883
                     55,                0.56346,                 1.0366,                0.96284,                0.98006,                      1,                  0.995,                0.93716,                0.36857,                 1.0584,                 0.7196,             0.00079233,             0.00079233,             0.00079233
                     56,                0.46834,                 1.4722,                0.90984,                0.98006,                      1,                  0.995,                0.93716,                0.36857,                 1.0584,                 0.7196,             0.00077582,             0.00077582,             0.00077582
                     57,                0.43928,                 0.9772,                0.84563,                0.98258,                      1,                  0.995,                0.95654,                0.32474,                0.93766,                0.71421,             0.00075932,             0.00075932,             0.00075932
                     58,                0.50245,                0.96441,                0.91375,                0.98258,                      1,                  0.995,                0.95654,                0.32474,                0.93766,                0.71421,             0.00074282,             0.00074282,             0.00074282
                     59,                0.43111,                0.93003,                0.85521,                 0.9831,                      1,                  0.995,                0.96204,                0.34917,                0.92769,                0.72031,             0.00072631,             0.00072631,             0.00072631
                     60,                0.50757,                 1.0322,                0.88819,                 0.9831,                      1,                  0.995,                0.96204,                0.34917,                0.92769,                0.72031,             0.00070981,             0.00070981,             0.00070981
                     61,                 0.5641,                0.96459,                0.94978,                0.98494,                      1,                  0.995,                0.96204,                0.37993,                0.95238,                0.72256,             0.00069331,             0.00069331,             0.00069331
                     62,                0.63017,                 1.0611,                0.92837,                0.98494,                      1,                  0.995,                0.96204,                0.37993,                0.95238,                0.72256,              0.0006768,              0.0006768,              0.0006768
                     63,                0.49039,                0.96862,                0.87382,                0.98396,                      1,                  0.995,                0.92877,                0.40407,                0.93393,                0.72165,              0.0006603,              0.0006603,              0.0006603
                     64,                0.48339,                 1.1065,                0.88751,                0.98396,                      1,                  0.995,                0.92877,                0.40407,                0.93393,                0.72165,              0.0006438,              0.0006438,              0.0006438
                     65,                0.51873,                0.92825,                 0.9126,                0.98292,                      1,                  0.995,                0.92327,                0.40617,                0.91388,                0.72538,             0.00062729,             0.00062729,             0.00062729
                     66,                 0.5042,                0.90451,                0.85527,                0.98292,                      1,                  0.995,                0.92327,                0.40617,                0.91388,                0.72538,             0.00061079,             0.00061079,             0.00061079
                     67,                0.52823,                 1.2311,                0.85019,                0.98292,                      1,                  0.995,                0.92327,                0.40617,                0.91388,                0.72538,             0.00059429,             0.00059429,             0.00059429
                     68,                0.50537,                 1.1624,                0.94124,                0.98172,                      1,                  0.995,                0.94554,                0.40791,                0.88245,                0.72845,             0.00057778,             0.00057778,             0.00057778
                     69,                0.49082,                 0.9851,                0.92504,                0.98172,                      1,                  0.995,                0.94554,                0.40791,                0.88245,                0.72845,             0.00056128,             0.00056128,             0.00056128
                     70,                 0.5381,                 1.0402,                0.89585,                0.97836,                      1,                  0.995,                0.92066,                0.36765,                0.91224,                0.72265,             0.00054478,             0.00054478,             0.00054478
                     71,                0.53349,                 1.0062,                0.90909,                0.97836,                      1,                  0.995,                0.92066,                0.36765,                0.91224,                0.72265,             0.00052827,             0.00052827,             0.00052827
                     72,                 0.5841,                 1.0956,                0.94109,                0.97428,                      1,                  0.995,                0.93848,                0.31641,                0.89079,                0.71012,             0.00051177,             0.00051177,             0.00051177
                     73,                0.47562,                0.90277,                0.91849,                0.97428,                      1,                  0.995,                0.93848,                0.31641,                0.89079,                0.71012,             0.00049527,             0.00049527,             0.00049527
                     74,                0.47549,                0.95207,                0.86348,                0.97089,                      1,                  0.995,                 0.9624,                0.27262,                0.89827,                0.70366,             0.00047876,             0.00047876,             0.00047876
                     75,                0.48522,                 1.0095,                0.91827,                0.97089,                      1,                  0.995,                 0.9624,                0.27262,                0.89827,                0.70366,             0.00046226,             0.00046226,             0.00046226
                     76,                0.52127,                 1.3157,                0.97675,                0.97097,                      1,                  0.995,                0.96216,                0.25232,                0.92543,                0.70304,             0.00044576,             0.00044576,             0.00044576
                     77,                0.42612,                 1.0014,                0.88107,                0.97097,                      1,                  0.995,                0.96216,                0.25232,                0.92543,                0.70304,             0.00042925,             0.00042925,             0.00042925
                     78,                0.41644,                0.93914,                0.83365,                0.97097,                      1,                  0.995,                0.96216,                0.25232,                0.92543,                0.70304,             0.00041275,             0.00041275,             0.00041275
                     79,                0.46456,                 1.0088,                0.90973,                0.97152,                      1,                  0.995,                0.94545,                 0.2839,                0.90285,                0.70981,             0.00039625,             0.00039625,             0.00039625
                     80,                0.45902,                0.95739,                0.87229,                0.97152,                      1,                  0.995,                0.94545,                 0.2839,                0.90285,                0.70981,             0.00037974,             0.00037974,             0.00037974
                     81,                0.43951,                0.87644,                0.92069,                0.97673,                      1,                  0.995,                0.94545,                0.32427,                0.88239,                0.71329,             0.00036324,             0.00036324,             0.00036324
                     82,                0.53717,                0.98173,                 0.9411,                0.97673,                      1,                  0.995,                0.94545,                0.32427,                0.88239,                0.71329,             0.00034674,             0.00034674,             0.00034674
                     83,                 0.4534,                0.91789,                0.90527,                0.98213,                      1,                  0.995,                0.94545,                 0.3459,                 0.8738,                0.71811,             0.00033023,             0.00033023,             0.00033023
                     84,                0.54061,                0.93444,                0.95808,                0.98213,                      1,                  0.995,                0.94545,                 0.3459,                 0.8738,                0.71811,             0.00031373,             0.00031373,             0.00031373
                     85,                0.52086,                0.90687,                 0.9684,                0.98497,                      1,                  0.995,                0.92329,                0.36622,                0.88792,                0.72155,             0.00029723,             0.00029723,             0.00029723
                     86,                0.40583,                0.86875,                0.87918,                0.98497,                      1,                  0.995,                0.92329,                0.36622,                0.88792,                0.72155,             0.00028072,             0.00028072,             0.00028072
                     87,                0.47979,                0.90387,                0.91601,                0.98609,                      1,                  0.995,                 0.9095,                0.37791,                0.86003,                0.72157,             0.00026422,             0.00026422,             0.00026422
                     88,                0.42132,                0.85929,                0.87253,                0.98609,                      1,                  0.995,                 0.9095,                0.37791,                0.86003,                0.72157,             0.00024772,             0.00024772,             0.00024772
                     89,                0.45125,                0.81115,                0.91736,                0.98609,                      1,                  0.995,                 0.9095,                0.37791,                0.86003,                0.72157,             0.00023121,             0.00023121,             0.00023121
                     90,                0.49113,                0.86928,                0.94775,                0.98604,                      1,                  0.995,                0.92608,                0.37482,                0.83573,                0.72015,             0.00021471,             0.00021471,             0.00021471
                     91,                0.28577,                 1.0678,                0.82323,                0.98604,                      1,                  0.995,                0.92608,                0.37482,                0.83573,                0.72015,             0.00019821,             0.00019821,             0.00019821
                     92,                 0.2993,                0.98735,                0.77492,                0.98554,                      1,                  0.995,                0.92608,                0.36203,                0.81368,                0.71841,              0.0001817,              0.0001817,              0.0001817
                     93,                0.33998,                 1.0239,                 0.7684,                0.98554,                      1,                  0.995,                0.92608,                0.36203,                0.81368,                0.71841,              0.0001652,              0.0001652,              0.0001652
                     94,                0.35916,                  1.022,                0.76489,                0.98606,                      1,                  0.995,                0.95364,                 0.3466,                0.80862,                0.71627,              0.0001487,              0.0001487,              0.0001487
                     95,                0.28414,                 1.0324,                0.84354,                0.98606,                      1,                  0.995,                0.95364,                 0.3466,                0.80862,                0.71627,             0.00013219,             0.00013219,             0.00013219
                     96,                0.37266,                 1.1971,                0.88078,                0.98617,                      1,                  0.995,                0.97852,                0.33345,                0.81055,                0.71491,             0.00011569,             0.00011569,             0.00011569
                     97,                0.30606,                  1.001,                0.80041,                0.98617,                      1,                  0.995,                0.97852,                0.33345,                0.81055,                0.71491,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     98,                0.27983,                 1.0143,                0.83327,                0.98672,                      1,                  0.995,                0.97852,                0.32225,                0.83409,                0.71359,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     99,                 0.2959,                 1.0877,                 0.8295,                0.98672,                      1,                  0.995,                0.97852,                0.32225,                0.83409,                0.71359,              6.618e-05,              6.618e-05,              6.618e-05
                    100,                0.29173,                  1.013,                0.85425,                0.98672,                      1,                  0.995,                0.97852,                0.32225,                0.83409,                0.71359,             4.9677e-05,             4.9677e-05,             4.9677e-05
